1,99.98,0.98,0.71,,,,,,,,,,,,,,,,,,,,,,
1,99.63,0,0,,,,,,,,,,,,,,,,,,,,,,
1,95.31,0,0,,,,,,,,,,,,,,,,,,,,,,
1,99.99,0,0,,,,,,,,,,,,,,,,,,,,,,
1,99.69,0,0.79,,,,,,,,,,,,,,,,,,,,,,
1,81.93,0,0,,,,,,,,,,,,,,,,,,,,,,
1,99.88,0,0,,,,,,,,,,,,,,,,,,,,,,
1,99.97,0.98,0.81,,,,,,,,,,,,,,,,,,,,,,
1,99.91,0,0,,,,,,,,,,,,,,,,,,,,,,
1,99.98,0,0,,,,,,,,,,,,,,,,,,,,,,
1,99.99,0,0,,,,,,,,,,,,,,,,,,,,,,
1,99.99,0.03,0,,,,,,,,,,,,,,,,,,,,,,
1,99.95,0,0,,,,,,,,,,,,,,,,,,,,,,
1,99.98,0,0.77,,,,,,,,,,,,,,,,,,,,,,
1,98.91,0.98,0.71,,,,,,,,,,,,,,,,,,,,,,
1,91.77,0,0,,,,,,,,,,,,,,,,,,,,,,
1,37.44,0,0.73,,,,,,,,,,,,,,,,,,,,,,
1,95.31,0,0.79,,,,,,,,,,,,,,,,,,,,,,
1,99.92,0,0.81,,,,,,,,,,,,,,,,,,,,,,
1,93.31,0,0.75,,,,,,,,,,,,,,,,,,,,,,
1,99.99,0,0.77,,,,,,,,,,,,,,,,,,,,,,
1,99.98,0.88,0.75,,,,,,,,,,,,,,,,,,,,,,
1,99.99,0,0.79,,,,,,,,,,,,,,,,,,,,,,
1,99.99,0,0.81,,,,,,,,,,,,,,,,,,,,,,
1,99.99,0.03,0.77,,,,,,,,,,,,,,,,,,,,,,
1,99.99,0.03,0,,,,,,,,,,,,,,,,,,,,,,
1,99.25,0.52,0.75,,,,,,,,,,,,,,,,,,,,,,
1,99.99,0,0.79,,,,,,,,,,,,,,,,,,,,,,
1,99.96,0.98,0.71,,,,,,,,,,,,,,,,,,,,,,
1,98.02,0,0,,,,,,,,,,,,,,,,,,,,,,
1,99.34,0,0,,,,,,,,,,,,,,,,,,,,,,
1,99.97,0,0.79,,,,,,,,,,,,,,,,,,,,,,
1,99.99,0.93,0.77,,,,,,,,,,,,,,,,,,,,,,
1,99.81,0.98,0,,,,,,,,,,,,,,,,,,,,,,
1,99.99,0.98,0,,,,,,,,,,,,,,,,,,,,,,
1,99.99,0.98,0,,,,,,,,,,,,,,,,,,,,,,
